"CountryCode","SeriesCode","DESCRIPTION",
"ARE","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.",
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","ST.INT.ARVL","Arrivals of non-resident tourists in hotels and similar establishments. Arrivals in hotels only. Including domestic tourism and nationals residing abroad.",
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates.",
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARE","ST.INT.TRNX.CD","Compiled from data reported by the Central Bank.",
"ARE","ST.INT.TRNR.CD","Compiled from data reported by the Central Bank.",
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","ST.INT.DPRT","Departures - trips abroad by resident tourists.",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2018 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt before 2010 is based on data from the BIS.",
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","SM.POP.REFG","The decrease in the refugee population in 1998 is mainly due to a verification of records.",
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARG","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2018 series.",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2018 are based on reports provided by the country. Short-term debt data for 2018 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.ARVL","Arrivals of non-resident tourists at national borders.",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","ST.INT.DPRT","Departures - trips abroad by resident tourists.",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. 2018 data source: South Pacific Tourism Organisation (2018 Annual Visitor Arrivals Report).",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","ST.INT.TRNX.CD","Compiled from data reported by the country.",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","ST.INT.XPND.CD","Compiled from data reported by the country.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","ST.INT.RCPT.CD","Compiled from data reported by the country.",
"ASM","ST.INT.TRNR.CD","Compiled from data reported by the country.",
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country.",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.NET.BBND","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ATG","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. Excluding nationals residing abroad. From 2004 arrivals by air.",
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
